ASX code,Company name,Listing date,GICs industry group,Market Cap
BEE,BROO LTD,14/10/2016,"Food, Beverage & Tobacco",N/A
BEL,BENTLEY CAPITAL LIMITED,07/11/1986,Not Applic,4948315
BEM,BLACKEARTH MINERALS NL,19/01/2018,Materials,24951732
BEN,BENDIGO AND ADELAIDE BANK LIMITED,19/12/1985,Banks,5220615288
BET,BETMAKERS TECHNOLOGY GROUP LTD,11/12/2015,Consumer Services,256600758
BEX,BIKEEXCHANGE LIMITED,09/02/2021,Retailing,14216801
BEZ,BESRA GOLD INC.,08/10/2021,Materials,16433194
BFC,BESTON GLOBAL FOOD COMPANY LIMITED,28/08/2015,"Food, Beverage & Tobacco",27459395
BFCN,BESTON GLOBAL FOOD COMPANY LIMITED,28/08/2015,"Food, Beverage & Tobacco",27459395
BFG,BELL FINANCIAL GROUP LIMITED,12/12/2007,Diversified Financials,339988585
BFL,BSP FINANCIAL GROUP LIMITED,25/05/2021,Banks,2284705697
BGA,BEGA CHEESE LIMITED,19/08/2011,"Food, Beverage & Tobacco",1054528062
BGD,BARTON GOLD HOLDINGS LIMITED,28/06/2021,Materials,29023467
BGE,BRIDGE SAAS LIMITED,06/10/2022,Software & Services,8347326
BGL,BELLEVUE GOLD LIMITED,20/12/2005,Materials,1058002628
BGP,BRISCOE GROUP AUSTRALASIA LIMITED,20/07/2017,Retailing,1131039577
BGT,BIO-GENE TECHNOLOGY LTD,29/11/2017,Materials,20358832
BHD,BENJAMIN HORNIGOLD LIMITED,12/05/2017,Not Applic,5555705
BHP,BHP GROUP LIMITED,1885-08-13,Materials,2.2705E+11
BID,BILL IDENTITY LIMITED,27/01/2011,Software & Services,16546210
BIM,BINDI METALS LIMITED,28/06/2022,Materials,5643000
BIO,BIOME AUSTRALIA LIMITED,30/11/2021,Household & Personal Products,15592969
BIR,BIR FINANCIAL LIMITED,31/07/2006,Diversified Financials,10113702
BIS,BISALLOY STEEL GROUP LIMITED,23/06/2003,Materials,103441122
BIT,BIOTRON LIMITED,24/01/2001,"Pharmaceuticals, Biotechnology & Life Sciences",26156049
BKG,BOOKTOPIA GROUP LIMITED,03/12/2020,Retailing,28845453
BKI,BKI INVESTMENT COMPANY LIMITED,12/12/2003,Not Applic,1312342613
BKL,BLACKMORES LIMITED,02/05/1985,Household & Personal Products,1384733698
BKT,BLACK ROCK MINING LIMITED,10/12/2003,Materials,157158072
BKW,BRICKWORKS LIMITED,30/06/1962,Materials,3422460744
BKY,BERKELEY ENERGIA LIMITED,16/09/2003,Energy,140425965
BLD,BORAL LIMITED.,21/02/2000,Materials,3353388794
BLG,BLUGLASS LIMITED,22/09/2006,Semiconductors & Semiconductor Equipment,37616045
BLGNB,BLUGLASS LIMITED,22/09/2006,Semiconductors & Semiconductor Equipment,37616045
