,company name,fca website,website
225,FOREX-EXCHANGE.LTD,https://www.fca.org.uk/news/warnings/forex-exchangeltd,['https://forex-exchange.ltd/']
226,DAILY WEALTH FINANCING,https://www.fca.org.uk/news/warnings/daily-wealth-financing,['https://dailywealthfinancing.com/']
227,Global Recovery Center,https://www.fca.org.uk/news/warnings/global-recovery-center,['gr-center.com']
228,Josef Nejedly Consultancy,https://www.fca.org.uk/news/warnings/josef-nejedly-consultancy,['www.josefnejedlyconsultancy.com']
229,FTM Trade,https://www.fca.org.uk/news/warnings/ftm-trade,['www.ftmtrade.com']
230,National Debt Advice,https://www.fca.org.uk/news/warnings/national-debt-advice,['www.nationaldebtadvice.org.uk']
231,New Capital Lenders,https://www.fca.org.uk/news/warnings/new-capital-lenders,['newcapitallenders.co.uk']
233,Cryptocycle,https://www.fca.org.uk/news/warnings/cryptocycle,['www.cryptocycle.org']
234,Main Bit,https://www.fca.org.uk/news/warnings/main-bit,['www.main-bit.com']
235,Coin Matrix,https://www.fca.org.uk/news/warnings/coin-matrix,['https://coinmatrixfx.uk/']
236,PROFITCHAIN FX,https://www.fca.org.uk/news/warnings/profitchain-fx,['www.profitchainfx.com']
237,SOLANA MARKETS,https://www.fca.org.uk/news/warnings/solana-markets,['www.solana-markets.com']
238,Finance Investment,https://www.fca.org.uk/news/warnings/finance-investment,"['www.finance-investment.ltd, www.finance-investment.ltd']"
239,Rapid Money UK,https://www.fca.org.uk/news/warnings/rapid-money-uk,['rapidmoneyuk.com']
240,Apollo Corporate Partners,https://www.fca.org.uk/news/warnings/apollo-corporate-partners,['www.apollocorporatepartners.com']
241,Aligninvest limited,https://www.fca.org.uk/news/warnings/aligninvest-limited,['www.aligninvest.net']
242,EQUITY BANK LP,https://www.fca.org.uk/news/warnings/equity-bank-lp,['www.equitibanklp.com']
243,MX BITCOIN INVESTMENT,https://www.fca.org.uk/news/warnings/mx-bitcoin-investment,['www.mxbitcoininvestment.com']
